Freeze_Thaw,Matrix,Donor_ID,Aliquot,Analyte,Cytokine_Concentration
4,PL-HE,2,F4-PL-HE-2 DX10,FASL,52.5
4,PL-HE,2,F4-PL-HE-2 DX10,HGF,43.5
4,PL-HE,2,F4-PL-HE-2 DX10,LEPTIN,381.3
4,PL-HE,2,F4-PL-HE-2 DX10,MIF,874.5
4,PL-HE,2,F4-PL-HE-2 DX10,PAI1/SERPINE1,11001.8
4,PL-HE,2,F4-PL-HE-2 DX10,RESISTIN,7674.8
4,PL-HE,2,F4-PL-HE-2 DX10,SFAS/TNFRSF6,104.8
4,PL-HE,2,F4-PL-HE-2 DX10,SICAM1,4397.8
4,PL-HE,2,F4-PL-HE-2 DX10,SVCAM1,9301
4,PL-HE,3,F4-PL-HE-3 DX10,FASL,28
4,PL-HE,3,F4-PL-HE-3 DX10,HGF,29
4,PL-HE,3,F4-PL-HE-3 DX10,LEPTIN,268
4,PL-HE,3,F4-PL-HE-3 DX10,MIF,312.8
4,PL-HE,3,F4-PL-HE-3 DX10,PAI1/SERPINE1,10556
4,PL-HE,3,F4-PL-HE-3 DX10,RESISTIN,9115
4,PL-HE,3,F4-PL-HE-3 DX10,SFAS/TNFRSF6,125.3
4,PL-HE,3,F4-PL-HE-3 DX10,SICAM1,3747.5
4,PL-HE,3,F4-PL-HE-3 DX10,SVCAM1,7742.5
4,SE,1,F4-SE-1 DX10,FASL,77
4,SE,1,F4-SE-1 DX10,HGF,117
4,SE,1,F4-SE-1 DX10,LEPTIN,328.3
4,SE,1,F4-SE-1 DX10,MIF,35.8
4,SE,1,F4-SE-1 DX10,PAI1/SERPINE1,12978.8
4,SE,1,F4-SE-1 DX10,RESISTIN,17388.8
4,SE,1,F4-SE-1 DX10,SFAS/TNFRSF6,82.8
4,SE,1,F4-SE-1 DX10,SICAM1,861.5
4,SE,1,F4-SE-1 DX10,SVCAM1,7858.8
4,SE,2,F4-SE-2 DX10,FASL,24.8
4,SE,2,F4-SE-2 DX10,HGF,29.3
4,SE,2,F4-SE-2 DX10,LEPTIN,112.8
4,SE,2,F4-SE-2 DX10,MIF,28.5
4,SE,2,F4-SE-2 DX10,PAI1/SERPINE1,7260.5
4,SE,2,F4-SE-2 DX10,RESISTIN,1620.3
4,SE,2,F4-SE-2 DX10,SFAS/TNFRSF6,48.5
4,SE,2,F4-SE-2 DX10,SICAM1,2001.5
4,SE,2,F4-SE-2 DX10,SVCAM1,4857
4,SE,3,F4-SE-3 DX10,FASL,29.5
4,SE,3,F4-SE-3 DX10,HGF,54
4,SE,3,F4-SE-3 DX10,LEPTIN,320
4,SE,3,F4-SE-3 DX10,MIF,38.8
4,SE,3,F4-SE-3 DX10,PAI1/SERPINE1,14544
4,SE,3,F4-SE-3 DX10,RESISTIN,12624.3
4,SE,3,F4-SE-3 DX10,SFAS/TNFRSF6,194.5
4,SE,3,F4-SE-3 DX10,SICAM1,3168.3
4,SE,3,F4-SE-3 DX10,SVCAM1,7302.5
